"","Name","Publisher","Puntajes Cr?ticos","Puntajes usuarios"
"3498","Turning Point: Fall of Liberty","Codemasters","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3499","Sonic Boom: Shattered Crystal","Sega","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3500","Shrek Super Party","TDK Mediactive","Puntajes Cr?ticos bajo","Puntajes usuarios intermedio"
"3501","MLB Power Pros","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3502","Sakura Wars: So Long, My Love","Sega","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"3503","Dynasty Tactics","Tecmo Koei","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3504","Call of Juarez: The Cartel","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3505","Angry Birds Star Wars","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"3506","Metal Gear Solid V: Ground Zeroes","Konami Digital Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3507","SimCity 4","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3508","Puzzle Quest: Challenge of the Warlords","D3Publisher","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3509","Disgaea 5: Alliance of Vengeance","Nippon Ichi Software","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3510","Sengoku Basara: Samurai Heroes","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3511","Rayman 3: Hoodlum Havoc","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3512","Warriors Orochi 2","Tecmo Koei","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3513","Feel the Magic XY/XX","Sega","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3514","Psi-Ops: The Mindgate Conspiracy","Midway Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3515","Dead Rising: Chop Till You Drop","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3516","Spyro: A Hero's Tail","Vivendi Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3517","NASCAR 08","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3518","World of Tanks","Wargaming.net","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"3519","Links 2004","Microsoft Game Studios","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3520","Majin and the Forsaken Kingdom","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3521","Assassin's Creed IV: Black Flag","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"3522","Earthworm Jim","Interplay","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3523","Tales of Phantasia","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3524","Monster 4x4: Masters of Metal","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"3525","Dragon Ball GT: Transformation","Atari","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3526","FIFA 15","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"3527","The Warriors","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3528","Shadow Hearts","Midway Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3529","Dragon Ball Z: Budokai Tenkaichi 2","Atari","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3530","Haven: Call of the King","Midway Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3531","Street Hoops","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3532","R: Racing Evolution","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3533","The Golden Compass","Sega","Puntajes Cr?ticos bajo","Puntajes usuarios intermedio"
"3534","ATV Quad Power Racing 2","Acclaim Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3535","Hatsune Miku: Project Diva f","Sega","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3536","Marvel Nemesis: Rise of the Imperfects","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3537","Final Fantasy VI Advance","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3538","LEGO The Lord of the Rings","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3539","Viewtiful Joe","Capcom","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3540","DeathSmiles","Rising Star Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3541","Fable: The Journey","Microsoft Game Studios","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3542","Bladestorm: The Hundred Years' War","Tecmo Koei","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3543","SAW","Konami Digital Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3544","Chromehounds","Sega","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3545","Harry Potter and the Sorcerer's Stone","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3546","Unreal Championship 2: The Liandri Conflict","Midway Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3547","Kung Fu Chaos","Microsoft Game Studios","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3548","Shrek the Third","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3549","Jackass the Game","Empire Interactive","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3550","Pirates of the Caribbean: Dead Man's Chest","Disney Interactive Studios","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3551","Operation Flashpoint: Red River","Codemasters","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3552","Transformers: Dark of the Moon","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3553","Surf's Up","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3554","Assassin's Creed II: Discovery","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3555","Syphon Filter: Dark Mirror","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3556","Mission: Impossible - Operation Surma","Atari","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3557","MLB 07: The Show","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"3558","Driver: Parallel Lines","Atari","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3559","Mega Man ZX","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3560","Backyard Wrestling 2: There Goes the Neighborhood","Eidos Interactive","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3561","Guitar Hero: Van Halen","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3562","Dead or Alive","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3563","Dead to Rights: Retribution","Namco Bandai Games","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3564","Wild ARMs 5","505 Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3565","NFL Blitz 20-02","Midway Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3566","El Shaddai: Ascension of the Metatron","Ignition Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3567","Tony Hawk: Shred","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3568","NCAA March Madness 2005","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3569","Kenka Bancho: Badass Rumble","Spike","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3570","Silent Hill 2: Restless Dreams","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3571","NES Remix","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3572","Bass Strike","THQ","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3573","NHL Hitz 20-03","Midway Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3574","Bionic Commando","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3575","Monopoly Streets","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3576","Pac-Man Fever","Unknown","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3577","Trivial Pursuit","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3578","Medieval Moves: Deadmund's Quest","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3579","Mister Mosquito","Eidos Interactive","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3580","Rugby World Cup 2011","505 Games","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"3581","Virtua Fighter 5 Online","Sega","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"3582","Indiana Jones and the Staff of Kings","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3583","Angry Birds Star Wars","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3584","Dave Mirra Freestyle BMX 2","Acclaim Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3585","One Piece: Unlimited World Red","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3586","True Crime: New York City","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3587","Summer Heat Beach Volleyball","Acclaim Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3588","Avatar: The Last Airbender","THQ","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3589","Castlevania: Aria of Sorrow","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3590","Myst III: Exile","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3591","Shin Megami Tensei: Strange Journey","Atlus","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3592","Army of Two: The Devil's Cartel","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3593","Patapon 3","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3594","Ice Age: Dawn of the Dinosaurs","Activision","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3595","Tao Feng: Fist of the Lotus","Microsoft Game Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3596","Guitar Hero: Van Halen","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3597","Dragon Ball Z: Budokai 2","Atari","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3598","Over the Hedge","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3599","Siren: Blood Curse","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3600","NHL Hitz 20-02","Midway Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3601","GRID 2","Codemasters","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3602","Evil Dead: Hail to the King","THQ","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3603","Need for Speed: The Run","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"3604","Dave Mirra Freestyle BMX: Maximum Remix","Acclaim Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3605","The Evil Within","Bethesda Softworks","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3606","Rock Revolution","Konami Digital Entertainment","Puntajes Cr?ticos bajo","Puntajes usuarios intermedio"
"3607","Dead Rising 2: Off the Record","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3608","WWII Aces","Destineer","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3609","Athens 2004","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3610","Pro Race Driver","Codemasters","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3611","Baten Kaitos: Eternal Wings and the Lost Ocean","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3612","Iron Man 2","Sega","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3613","Disgaea 3: Absence of Detention","Nippon Ichi Software","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3614","Rocky: Legends","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3615","The Warriors","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"3616","RalliSport Challenge 2","Microsoft Game Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3617","Pac-Pix","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3618","F1 Race Stars","Codemasters","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3619","Sing Party","Nintendo","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3620","NHL 07","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3621","RollerCoaster Tycoon 3","Atari","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"3622","Ty the Tasmanian Tiger","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3623","WWE Road to WrestleMania X8","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3624","Fullmetal Alchemist 2: Curse of the Crimson Elixir","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3625","NASCAR 06: Total Team Control","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3626","BloodRayne 2","THQ","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3627","Rory McIlroy PGA Tour","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3628","The Club","Sega","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3629","NHL 2002","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3630","LEGO The Hobbit","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3631","Lightning Returns: Final Fantasy XIII","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3632","Shadow of Rome","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3633","NASCAR 2011: The Game","Activision","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"3634","Harry Potter and the Order of the Phoenix","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3635","Transformers: Cybertron Adventures","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3636","Stuntman: Ignition","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3637","Gun","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3638","NHL 2K11","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3639","Fantastic 4","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3640","MotoGP","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3641","Batman: Arkham Origins Blackgate","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3642","Shadows of the Damned","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3643","R.U.S.E.","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3644","Rock Revolution","Unknown","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3645","NBA Live 2004","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3646","Reign of Fire","BAM! Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3647","The Sims 2: Pets","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3648","Ultimate NES Remix","Unknown","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3649","Tropico 4","Kalypso Media","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3650","The BIGS","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3651","Jurassic Park: Operation Genesis","Konami Digital Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3652","Knockout Kings 2002","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3653","InuYasha: Feudal Combat","Namco Bandai Games","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"3654","R.U.S.E.","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3655","Duel Masters","Atari","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3656","MotionSports: Adrenaline","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3657","NBA 07","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3658","Call of Juarez: The Cartel","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3659","My Japanese Coach","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3660","Need for Speed: Most Wanted","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3661","Section 8","SouthPeak Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3662","ESPN NBA Basketball","Sega","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3663","Lowrider","Pacific Century Cyber Works","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"3664","Family Guy: Back to the Multiverse","Activision","Puntajes Cr?ticos bajo","Puntajes usuarios alto"
"3665","All-Pro Football 2K8","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3666","Fish Tycoon","Majesco Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3667","Plants vs. Zombies","PopCap Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3668","Batman: Return to Arkham","Warner Bros. Interactive Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3669","Rune: Viking Warlord","Take-Two Interactive","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3670","The Incredible Hulk","Sega","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3671","Panzer Dragoon Orta","Sega","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3672","America's Test Kitchen: Let's Get Cooking","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"3673","Suikoden Tierkreis","Konami Digital Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3674","Superman Returns","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3675","Shin Megami Tensei: Devil Survivor","Atlus","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3676","Tearaway Unfolded","Sony Computer Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3677","MLB SlugFest 2006","Midway Games","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3678","Etrian Odyssey II: Heroes of Lagaard","Atlus","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3679","The Incredible Hulk","Sega","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3680","Deadly Premonition","Rising Star Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3681","Ford Racing 3","Take-Two Interactive","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3682","The Adventures of Tintin: The Game","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3683","Dragon Ball Z: Tenkaichi Tag Team","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3684","Etrian Odyssey Untold: The Millennium Girl","Atlus","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3685","Final Fantasy V Advance","Nintendo","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"3686","Star Wars: Bounty Hunter","LucasArts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3687","Dynasty Warriors 7: Xtreme Legends","Tecmo Koei","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3688","Naruto: Ultimate Ninja Heroes","Namco Bandai Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3689","Angry Birds Trilogy","Activision","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"3690","Major League Baseball 2K9","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3691","WWE 2K17","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3692","Battlestations: Midway","Eidos Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3693","Riding Spirits","BAM! Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"3694","Project CARS","Slightly Mad Studios","Puntajes Cr?ticos muy alto","Puntajes usuarios intermedio"
"3695","MLB 09: The Show","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3696","Bust A Groove 2","Enix Corporation","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3697","Armored Core: Nexus","Indie Games","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3698","Evolution Skateboarding","Konami Digital Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3699","Outlaw Volleyball","TDK Mediactive","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3700","Batman: Vengeance","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3701","Spider-Man: Web of Shadows","Activision","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3702","Legaia 2: Duel Saga","Eidos Interactive","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3703","Crash Nitro Kart","Vivendi Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3704","ExciteBots: Trick Racing","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3705","Oddworld: Stranger's Wrath","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3706","King of Fighters: Maximum Impact","Ignition Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3707","Atelier Ayesha: The Alchemist of Dusk","Tecmo Koei","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3708","Battleborn","Take-Two Interactive","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3709","Drakan: The Ancients' Gates","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3710","Resident Evil: Revelations","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3711","Tony Hawk: Shred","Activision","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3712","Tokyo Jungle","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3713","Army of Two: The Devil's Cartel","Electronic Arts","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3714","Puppeteer","Sony Computer Entertainment Europe","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3715","Tom Clancy's Splinter Cell: Double Agent","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3716","Resident Evil: Deadly Silence","Capcom","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3717","Legendary","Atari","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3718","Peter Jackson's King Kong: The Official Game of the Movie","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3719","Rayman DS","Ubisoft","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3720","All-Star Baseball 2003","Acclaim Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3721","MTX Mototrax","Activision","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3722","NBA ShootOut 2004","Sony Computer Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3723","Nancy Drew: The Mystery of the Clue Bender Society","Codemasters","Puntajes Cr?ticos intermedio","Puntajes usuarios bajo"
"3724","Castlevania: Harmony of Dissonance","Konami Digital Entertainment","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3725","Formula One 2001","Sony Computer Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3726","Pirates of the Caribbean: Dead Man's Chest","Disney Interactive Studios","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3727","Baldur's Gate: Dark Alliance II","Acclaim Entertainment","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3728","Madden NFL 2005","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3729","MVP Baseball 2004","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3730","Polarium","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3731","Super Street Fighter II: Turbo Revival","Ubisoft","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"3732","Secret Weapons Over Normandy","LucasArts","Puntajes Cr?ticos alto","Puntajes usuarios muy alto"
"3733","The Elder Scrolls IV: Oblivion","Take-Two Interactive","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3734","Metroid Prime Pinball","Nintendo","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3735","Teen Titans","THQ","Puntajes Cr?ticos intermedio","Puntajes usuarios muy alto"
"3736","Bomberman Generation","Vivendi Games","Puntajes Cr?ticos muy alto","Puntajes usuarios muy alto"
"3737","Sega Rally Revo","Sega","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3738","Surfing H3O","Take-Two Interactive","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3739","NASCAR 09","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3740","NASCAR 09","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3741","Game of Thrones","Focus Home Interactive","Puntajes Cr?ticos intermedio","Puntajes usuarios intermedio"
"3742","Silent Hunter 5: Battle of the Atlantic","Ubisoft","Puntajes Cr?ticos alto","Puntajes usuarios bajo"
"3743","Amped 2","Microsoft Game Studios","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3744","Final Fantasy Crystal Chronicles: Echoes of Time","Square Enix","Puntajes Cr?ticos alto","Puntajes usuarios intermedio"
"3745","College Hoops 2K6","Unknown","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3746","NHL 08","Electronic Arts","Puntajes Cr?ticos muy alto","Puntajes usuarios alto"
"3747","The Legend of Legacy","FuRyu","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3748","Juiced 2: Hot Import Nights","THQ","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3749","LEGO Star Wars III: The Clone Wars","LucasArts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3750","The Powerpuff Girls: Chemical X-Traction","BAM! Entertainment","Puntajes Cr?ticos bajo","Puntajes usuarios alto"
"3751","Dead or Alive Xtreme 2","Tecmo Koei","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3752","PlayStation VR Worlds","Sony Computer Entertainment","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3753","Hunted: The Demon's Forge","Bethesda Softworks","Puntajes Cr?ticos intermedio","Puntajes usuarios alto"
"3754","Men of Valor","Vivendi Games","Puntajes Cr?ticos alto","Puntajes usuarios alto"
"3755","Medal of Honor European Assault","Electronic Arts","Puntajes Cr?ticos alto","Puntajes usuarios alto"
