"","Name","Platform","Year_of_Release","Genre","Publisher","Developer","Rating","Ventas NA","Ventas EU","Ventas JP","Ventas otras","Ventas globales","Puntajes Cr?ticos","n? criticas criticos","Puntajes usuarios","n? cr?ticas usuarios"
"2534","Alone in the Dark","X360","2008","Adventure","Atari","Eden Studios","M","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos intermedio","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2535","Shrek the Third","PS2","2007","Action","Activision","Amaze Entertainment","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2536","Need for Speed: Porsche Unleashed","GBA","2004","Racing","Zoo Digital Publishing","Pocketeers","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2537","Far Cry 2","PC","2008","Action","Ubisoft","Ubisoft Montreal","M","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2538","NFL Street 2","XB","2004","Sports","Electronic Arts","EA Tiburon","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2539","Rock Band Unplugged","PSP","2009","Misc","MTV Games","Harmonix Music Systems, Backbone Entertainment","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2540","Skylanders: SuperChargers","WiiU","2015","Action","Activision","Vicarious Visions","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2541","You're in the Movies","X360","2008","Misc","Microsoft Game Studios","Zoe Mode","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2542","Scene It? Lights Camera Action","X360","2007","Misc","Microsoft Game Studios","Screenlife Games, WXP","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2543","MotorStorm: Apocalypse","PS3","2011","Racing","Sony Computer Entertainment","Evolution Studios","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2544","Dark Sector","X360","2008","Shooter","D3Publisher","Digital Extremes","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2545","Tiger Woods PGA Tour 07","X360","2006","Sports","Electronic Arts","EA Redwood Shores","E","muy pocas ventas en NA","Ventas en EU nulas o sin informacion","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2546","Plants vs. Zombies: Garden Warfare 2","XOne","2016","Shooter","Electronic Arts","PopCap","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2547","Mario Golf: World Tour","3DS","2014","Sports","Nintendo","Camelot Software Planning","E","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2548","Secret Weapons Over Normandy","PS2","2003","Simulation","LucasArts","Totally Games","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2549","Crash of the Titans","DS","2007","Action","Vivendi Games","Amaze Entertainment","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2550","Lollipop Chainsaw","X360","2012","Action","Warner Bros. Interactive Entertainment","Grasshopper Manufacture","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2551","The Saboteur","PS3","2009","Action","Electronic Arts","Pandemic Studios","M","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2552","Metal Gear Rising: Revengeance","X360","2013","Action","Konami Digital Entertainment","PlatinumGames","M","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2553","Theme Park Roller Coaster","PS2","2000","Strategy","Electronic Arts","Bullfrog Productions","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2554","NHL 16","XOne","2015","Sports","Electronic Arts","EA Sports, EA Canada","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2555","Midnight Club: Street Racing","GBA","2001","Racing","Rebellion","Angel Studios","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2556","Tiger Woods PGA Tour 06","XB","2005","Sports","Electronic Arts","EA Sports","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2557","Fortune Street","Wii","2011","Misc","Nintendo","Marvelous AQL","E","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2558","FIFA World Cup Germany 2006","X360","2006","Sports","Electronic Arts","EA Canada","E","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","Ventas otras nulas o sin informacion","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2559","World of Outlaws: Sprint Cars 2002","PS2","2002","Racing","Ignition Entertainment","Ratbag","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2560","Children of Mana","DS","2006","Role-Playing","Nintendo","Nex Entertainment","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2561","Sonic the Hedgehog","PS3","N/A","Platform","N/A","Sonic Team","E10+","nulas ventas en NA o sin informacion","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","Ventas otras nulas o sin informacion","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2562","Fantavision","PS2","2000","Puzzle","Sony Computer Entertainment","SCEJ","E","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2563","X-Men: Next Dimension","PS2","2002","Fighting","Activision","Paradox Development","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2564","Dynasty Warriors Gundam","PS3","2007","Action","Tecmo Koei","Koei, Omega Force","T","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2565","Doom 3 BFG Edition","X360","2012","Shooter","Bethesda Softworks","id Software","M","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2566","Spider-Man 3","Wii","2007","Platform","Activision","Vicarious Visions","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2567","Rock Band 4","XOne","2015","Misc","Harmonix Music Systems","Harmonix Music Systems","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2568","James Bond 007: Blood Stone","X360","2010","Shooter","Activision","Bizarre Creations","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2569","Street Fighter X Tekken","X360","2012","Fighting","Capcom","Capcom","T","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2570","Dark Sector","PS3","2008","Shooter","D3Publisher","Digital Extremes","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2571","ICO","PS2","2001","Action","Sony Computer Entertainment","SCE Japan Studio","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2572","World of Warcraft: Warlords of Draenor","PC","2014","Action","Activision Blizzard","Blizzard Entertainment","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2573","Ford Racing Off Road","Wii","2008","Racing","Xplosiv","Razorworks","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos bajo","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2574","Unreal Tournament III","X360","2008","Shooter","Midway Games","Epic Games","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2575","FIFA Soccer 13","WiiU","2012","Action","Electronic Arts","Electronic Arts","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2576","Victorious Boxers: Ippo's Road to Glory","PS2","2000","Fighting","Empire Interactive","New","T","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2577","Valkyrie Profile 2: Silmeria","PS2","2006","Role-Playing","Square Enix","Tri-Ace","T","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2578","Pinball Hall of Fame: The Williams Collection","Wii","2008","Misc","System 3 Arcade Software","Farsight Studios","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2579","Hot Wheels Velocity X","PS2","2002","Racing","THQ","Beyond Games","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2580","MySims Racing","Wii","2009","Racing","Electronic Arts","EA Games","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2581","F.E.A.R. 2: Project Origin","PS3","2009","Shooter","Warner Bros. Interactive Entertainment","Monolith Productions","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2582","The Sims 2: Pets","Wii","2007","Simulation","Electronic Arts","Maxis","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2583","L.A. Rush","PS2","2005","Racing","Midway Games","Midway","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2584","Crash: Mind Over Mutant","X360","2008","Platform","Vivendi Games","Radical Entertainment","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2585","Viva Pinata: Trouble in Paradise","X360","2008","Simulation","Microsoft Game Studios","Rare Ltd.","E","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2586","Epic Mickey 2: The Power of Two","PS3","2012","Action","Disney Interactive Studios","Blitz Games Studios","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2587","NBA Ballers: Phenom","PS2","2006","Sports","Midway Games","Midway","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2588","Need for Speed Carbon","XB","2006","Racing","Electronic Arts","EA Canada","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2589","Shadowrun","X360","2007","Role-Playing","Microsoft Game Studios","FASA Studio","M","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2590","Crazy Taxi: Fare Wars","PSP","2007","Racing","Sega","Sega","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2591","Warhammer 40,000: Dawn of War II","PC","2009","Strategy","THQ","Relic","M","nulas ventas en NA o sin informacion","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2592","Emergency Heroes","Wii","2008","Racing","Ubisoft","Ubisoft Barcelona, Ubisoft Reflections","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2593","FlingSmash","Wii","2010","Action","Nintendo","Artoon","E","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2594","Downhill Domination","PS2","2003","Racing","Codemasters","Incognito Inc.","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2595","Dead Space Extraction","Wii","2009","Shooter","Electronic Arts","Eurocom Entertainment Software, Visceral Games","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2596","Pirates of the Caribbean: Dead Man's Chest","GBA","2006","Adventure","Disney Interactive Studios","Amaze Entertainment","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"2597","Silent Hill: Shattered Memories","Wii","2009","Action","Konami Digital Entertainment","Climax Group, Climax Studios","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2598","World Series of Poker","PS2","2005","Misc","Activision","Activision","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2599","Final Fantasy Crystal Chronicles: Echoes of Time","DS","2009","Role-Playing","Square Enix","Square Enix","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2600","Rise of Nightmares","X360","2011","Action","Sega","Sega","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos intermedio","n? criticas criticos intermedio","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2601","EA Sports UFC","XOne","2014","Sports","Electronic Arts","EA Sports","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2602","Spider-Man 3","DS","2007","Platform","Activision","Vicarious Visions","E10+","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2603","Dead or Alive 4","X360","2005","Fighting","Tecmo Koei","Team Ninja","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2604","Godzilla: Save the Earth","PS2","2004","Fighting","Atari","Pipeworks Software, Inc.","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2605","Dance Dance Revolution: Mario Mix","GC","2005","Misc","Nintendo","Hudson","E","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2606","Metal Gear Solid: The Twin Snakes","GC","2004","Action","Konami Digital Entertainment","Silicon Knights","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2607","Tiger Woods PGA Tour 07","Wii","N/A","Sports","Electronic Arts","EA Redwood Shores","E","muy pocas ventas en NA","Ventas en EU nulas o sin informacion","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2608","Art Academy: Lessons for Everyone","3DS","2012","Action","Nintendo","Nintendo, Headstrong Games","E","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2609","Mat Hoffman's Pro BMX 2","PS2","2002","Sports","Activision","Rainbow Studios","T","muy pocas ventas en NA","muy pocas Ventas en EU","nulas Ventas en JP o sin informacion","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"2610","One Piece: Pirate Warriors 3","PS4","2015","Action","Namco Bandai Games","Omega Force","T","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2611","2010 FIFA World Cup South Africa","PSP","2010","Sports","Electronic Arts","Electronic Arts","E","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2612","Two Worlds II","PS3","2011","Role-Playing","Unknown","Reality Pump","M","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"2613","SimCity Creator","Wii","2008","Simulation","Electronic Arts","Electronic Arts","E","muy pocas ventas en NA","muy pocas Ventas en EU","muy pocas Ventas en JP","muy pocas Ventas otras","muy pocas Ventas globales","Puntajes Cr?ticos alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
